"orderID","units","clientID","productID","SellerID","Date"
"001",200,"001","001","001","2024-12-05"
"002",570,"002","002","002","2024-03-29"
"003",1230,"003","003","003","2024-06-18"
"004",890,"004","004","004","2024-08-18"
"005",450,"005","005","005","2024-10-22"
"006",1700,"006","006","006","2024-03-07"
"007",1010,"007","007","007","2024-07-12"
"008",300,"008","008","008","2024-02-22"
"009",1560,"009","009","009","2024-03-02"
"010",740,"010","010","001","2024-06-12"
"011",230,"001","002","003","2024-10-12"
"012",780,"002","003","004","2024-08-06"
"013",1210,"003","004","002","2024-09-06"
"014",940,"004","005","005","2024-08-30"
"015",540,"005","006","006","2024-04-22"
"016",1760,"006","007","007","2024-08-03"
"017",1010,"007","008","009","2024-01-22"
"018",320,"008","009","008","2024-07-28"
"019",1590,"009","001","001","2024-09-22"
"020",760,"010","002","003","2024-12-15"
"021",420,"001","003","002","2024-08-23"
"022",1330,"002","004","004","2024-05-20"
"023",990,"003","005","005","2024-01-13"
"024",610,"004","006","007","2024-01-21"
"025",1790,"005","007","008","2024-03-22"
"026",1120,"006","008","009","2023-12-25"
"027",290,"007","009","006","2024-04-14"
"028",1640,"008","001","001","2024-07-11"
"029",730,"009","002","003","2024-10-25"
"030",150,"010","003","002","2024-07-17"
"031",350,"001","004","004","2024-04-21"
"032",1380,"002","005","005","2024-12-07"
"033",900,"003","006","007","2024-10-18"
"034",620,"004","007","008","2024-03-21"
"035",1750,"005","008","009","2024-10-04"
"036",1110,"006","009","006","2024-03-01"
"037",280,"007","001","002","2024-08-06"
"038",1610,"008","002","003","2024-07-11"
"039",720,"009","003","004","2024-11-18"
"040",400,"010","004","005","2024-11-13"
"041",200,"001","001","001","2024-09-25"
"042",570,"002","002","001","2024-02-08"
"043",1210,"003","003","001","2024-05-15"
"044",940,"004","004","001","2024-07-28"
"045",540,"005","005","001","2024-10-18"
"046",1760,"006","006","001","2024-04-20"
"047",1010,"007","007","001","2024-03-01"
"048",320,"008","008","001","2023-12-19"
"049",1590,"009","009","001","2024-05-15"
"050",760,"010","010","001","2023-12-30"
"051",450,"001","001","002","2024-11-28"
"052",1790,"002","002","002","2024-08-04"
"053",1120,"003","003","002","2024-04-09"
"054",290,"004","004","002","2024-08-17"
"055",1640,"005","005","002","2024-05-13"
"056",730,"006","006","002","2023-12-25"
"057",150,"007","007","002","2024-11-09"
"058",350,"008","008","002","2024-05-20"
"059",1380,"009","009","002","2024-05-20"
"060",900,"010","010","002","2024-10-25"
"061",620,"001","001","003","2023-12-17"
"062",1750,"002","002","003","2024-05-25"
"063",1110,"003","003","003","2024-02-22"
"064",280,"004","004","003","2024-07-26"
"065",1610,"005","005","003","2024-06-10"
"066",720,"006","006","003","2024-07-21"
"067",400,"007","007","003","2024-06-23"
"068",1030,"008","008","003","2024-10-06"
"069",890,"009","009","003","2024-06-09"
"070",600,"010","010","003","2024-12-07"
"071",1230,"001","001","004","2024-05-25"
"072",940,"002","002","004","2024-03-25"
"073",590,"003","003","004","2024-01-02"
"074",1320,"004","004","004","2024-05-13"
"075",1000,"005","005","004","2024-11-06"
"076",870,"006","006","004","2024-03-11"
"077",420,"007","007","004","2024-06-15"
"078",1730,"008","008","004","2024-09-26"
"079",740,"009","009","004","2024-05-13"
"080",860,"010","010","004","2024-08-26"
"081",350,"001","001","005","2024-03-17"
"082",1400,"002","002","005","2024-02-16"
"083",820,"003","003","005","2024-01-19"
"084",590,"004","004","005","2024-11-30"
"085",1080,"005","005","005","2024-06-17"
"086",640,"006","006","005","2024-08-05"
"087",1440,"007","007","005","2024-08-20"
"088",980,"008","008","005","2024-06-08"
"089",730,"009","009","005","2024-04-22"
"090",1210,"010","010","005","2024-04-11"
"091",1010,"001","001","006","2024-07-03"
"092",1220,"002","002","006","2024-09-25"
"093",450,"003","003","006","2024-03-10"
"094",690,"004","004","006","2024-10-15"
"095",1100,"005","005","006","2024-05-30"
"096",760,"006","006","006","2024-09-26"
"097",1420,"007","007","006","2024-06-26"
"098",890,"008","008","006","2024-04-03"
"099",600,"009","009","006","2024-11-13"
"100",830,"010","010","006","2024-08-10"
"101",1340,"001","001","007","2024-06-23"
"102",1780,"002","002","007","2024-08-10"
"103",1100,"003","003","007","2024-08-24"
"104",390,"004","004","007","2024-06-14"
"105",1600,"005","005","007","2024-05-12"
"106",700,"006","006","007","2024-06-30"
"107",420,"007","007","007","2024-06-08"
"108",980,"008","008","007","2024-09-22"
"109",740,"009","009","007","2024-05-14"
"110",560,"010","010","007","2024-09-14"
"111",1340,"001","001","008","2024-06-14"
"112",1780,"002","002","008","2024-03-10"
"113",1190,"003","003","008","2024-08-19"
"114",590,"004","004","008","2024-08-20"
"115",1500,"005","005","008","2024-04-28"
"116",640,"006","006","008","2024-09-30"
"117",1420,"007","007","008","2024-10-24"
"118",890,"008","008","008","2024-11-09"
"119",980,"009","009","008","2024-11-22"
"120",830,"010","010","008","2024-12-06"
"121",990,"001","001","009","2024-01-07"
"122",1150,"002","002","009","2024-05-02"
"123",450,"003","003","009","2024-09-01"
"124",590,"004","004","009","2024-05-15"
"125",1600,"005","005","009","2024-11-22"
"126",800,"006","006","009","2024-05-23"
"127",420,"007","007","009","2024-04-28"
"128",1730,"008","008","009","2024-06-27"
"129",980,"009","009","009","2024-07-03"
"130",530,"010","010","009","2024-02-06"
